S_ECH,pn,an,deb,peche,engin,maille,LAT_VOY,LONG_VOY,no_db,prof,catch,longt,poidt,SEXE,poidg,poids,matc,dev,choixc,agec,sagec,cohorte,Pecheur,Remarques,datetime_set,datetime_haul,soak_time
67325,1,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,1,9.144,0.2268,273.36,148.3736609,M,20.53048668,127.8431742,50,A,P,4,,2017,Richard Organ,NA,2021-06-01 16:30:00,2021-06-02 08:25:00,15.9166666666667
67325,2,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,1,9.144,0.6804,320.28,239.9296755,F,48.50432101,191.4253545,50,A,P,8,,2013,Richard Organ,NA,2021-06-01 16:30:00,2021-06-02 08:25:00,15.9166666666667
67325,NA,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-01 16:30:00,2021-06-02 08:25:00,15.9166666666667
67325,NA,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-01 16:30:00,2021-06-02 08:25:00,15.9166666666667
67325,NA,2021,Mutton Bay,4SW,41,2.75,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-01 16:30:00,2021-06-02 08:25:00,15.9166666666667
67326,1,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,280.5,163.7344584,F,32.27349648,131.4609619,50,A,P,4,,2017,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,2,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,285.6,157.5434028,M,29.65792942,127.8854734,50,A,P,4,,2017,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,3,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,286.62,171.8939268,F,31.71173203,140.1821948,60,A,P,5,,2016,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,4,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,270.3,134.0732173,M,1.375281891,132.6979355,82,A,P,4,,2017,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,5,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,275.4,155.5660462,F,25.46723128,130.098815,50,A,P,4,,2017,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,6,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,6,9.144,0.907,266.22,138.176159,F,20.83719293,117.3389661,50,A,P,4,,2017,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,7,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,2,9.144,0.3402,307.02,209.2112855,M,45.3681301,163.8431554,60,A,P,7,,2014,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,8,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,2,9.144,0.3402,306,214.6003675,F,50.75264858,163.8477189,50,A,P,5,,2016,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,9,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,3,9.144,0.1134,312.12,216.2688041,M,34.76150227,181.5073018,50,A,P,8,,2013,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,10,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,3,9.144,0.1134,313.14,213.2450648,M,37.47602724,175.7690376,50,A,P,6,,2015,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,11,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,3,9.144,0.1134,306,221.6988804,F,49.13479805,172.5640824,60,A,P,7,,2014,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,NA,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67326,NA,2021,Mutton Bay,4SW,41,2.75,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-07 18:00:00,2021-06-08 05:48:00,11.8
67327,1,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,1,9.144,0.113398093,263.16,135.102522,F,22.0997138,113.0028082,50,A,P,6,,2015,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,2,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,3,9.144,0.454,283.56,145.3422004,F,3.961412171,141.3807882,31,A,A,5,,2016,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,3,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,3,9.144,0.454,278.46,144.3189643,F,24.70131341,119.6176509,50,A,P,5,,2016,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,4,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,3,9.144,0.454,284.58,184.1173178,F,11.35248743,172.7648304,40,A,A,5,,2016,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,5,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,5,9.144,1.361,325.38,233.3784904,M,30.22595504,203.1525354,40,A,P,8,,2013,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,6,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,5,9.144,1.361,301.92,228.7924044,F,56.4679609,172.3244435,60,A,P,6,,2015,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,7,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,5,9.144,1.361,298.86,204.1655726,M,27.72469378,176.4408789,60,A,P,8,,2013,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,8,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,5,9.144,1.361,310.08,208.2024557,M,40.97549153,167.2269642,60,A,P,7,,2014,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,9,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,5,9.144,1.361,287.64,174.8185494,M,6.390996734,168.4275526,60,A,P,6,,2015,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,10,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,5,9.144,1.361,369.24,314.3991728,M,52.55531495,261.8438579,40,A,P,11,,2010,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,11,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,5,9.144,1.361,317.22,250.0446072,F,57.35606322,192.688544,50,A,P,9,,2012,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,12,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,5,9.144,1.361,321.3,260.4719523,M,49.18941225,211.28254,60,A,P,8,,2013,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,13,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,5,9.144,1.361,312.12,211.5565781,F,30.30327856,181.2532995,40,A,P,8,,2013,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,14,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,5,9.144,1.361,323.34,230.818232,F,55.66757272,175.1506593,60,A,P,7,,2014,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67327,NA,2021,Mutton Bay,4SW,41,2.75,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-17 16:58:00,2021-06-18 07:08:00,14.1666666666667
67328,1,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,3,9.144,0.340194277,273.36,155.5660462,F,19.27357446,136.2924718,50,A,P,4,,2017,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,2,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,3,9.144,0.340194277,271.32,131.0019425,F,3.619838689,127.3821038,31,A,A,6,,2015,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,3,2021,Mutton Bay,4SW,41,2.5,50.78593,-59.04033,3,9.144,0.340194277,265.2,140.2244144,F,17.99454787,122.2298665,60,A,P,5,,2016,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,4,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,325.38,238.4030277,M,28.17985042,210.2231773,60,A,P,8,,2013,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,5,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,323.34,231.8309992,F,14.50702543,217.3239738,32,A,A,7,,2014,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,6,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,321.3,249.445259,M,46.38035848,203.0649005,50,A,P,7,,2014,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,7,2021,Mutton Bay,4SW,41,2.63,50.78593,-59.04033,4,9.144,0.907,297.84,212.2368494,M,42.10282138,170.134028,50,A,P,6,,2015,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2.25,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67328,NA,2021,Mutton Bay,4SW,41,2.75,50.78593,-59.04033,0,9.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Richard Organ,NA,2021-06-21 17:40:00,2021-06-22 07:55:00,14.25
67345,1,2021,Blanc Sablon,4SW,41,2,51.397833,-57.20767,1,20,0.25,319.26,243.4241972,M,2.345812732,241.0783845,70,A,P,8,,2013,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,2,2021,Blanc Sablon,4SW,41,2.5,51.397833,-57.20767,2,20,0.5,337.62,282.3537902,F,4.412713609,277.9410766,82,A,P,7,,2014,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,3,2021,Blanc Sablon,4SW,41,2.5,51.397833,-57.20767,2,20,0.5,348.84,372.9850026,M,65.52514488,307.4598577,50,A,P,11,+,2010,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
67345,4,2021,Blanc Sablon,4SW,41,2.75,51.397833,-57.20767,7,20,2.5,363.12,386.8403964,F,38.02902054,348.8113759,32,A,A,12,+,2009,Adrien Lavallée,NA,2021-06-15 13:00:00,2021-06-16 10:00:00,21
